sgRNA	Gene	R0_1	R0_2	R0_3	Rpost_1	Rpost_2	Rpost_3	Rpost_4	S0_1	S0_2	S0_3	Spost_1	Spost_2	Spost_3
sgGRIK5_7	GRIK5	3951	0	0	0	0	0	0	0	0	0	0	0	0
sgGPX4_6	GPX4	463	0	0	0	0	0	0	0	0	0	0	0	0
sgAQP2_2	AQP2	3188	0	0	0	0	1087	0	0	0	0	0	0	0
sgSULT1C2_10	SULT1C2	3542	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC35E3_6	SLC35E3	1371	0	0	0	0	0	0	0	0	0	0	0	0
sgKCNA3_2	KCNA3	220	0	0	0	0	207	0	0	0	0	0	0	0
sgSLC1A7_5	SLC1A7	5201	0	0	0	0	0	0	0	0	0	0	0	0
sgCCBL2_1	CCBL2	241	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC8B1_9	SLC8B1	720	0	0	0	0	0	0	0	0	0	0	0	0
sgTGDS_2	TGDS	724	0	0	0	0	0	0	0	0	0	0	0	0
sgTPCN1_1	TPCN1	185	14087	0	0	0	14948	0	0	0	0	0	0	0
sgCNEP1R1_9	CNEP1R1	292	0	0	0	738	0	0	0	0	0	0	0	0
sgPRPS2_3	PRPS2	1	0	0	2420	0	1	0	0	0	0	0	0	0
sgGABRA6_5	GABRA6	29	0	0	0	0	0	0	0	0	0	0	0	0
sgPLIN3_8	PLIN3	23	0	0	0	0	0	0	0	0	0	0	0	0
sgLPIN2_4	LPIN2	272	0	0	0	0	0	0	0	0	0	0	0	0
sgFAR2_9	FAR2	3	0	0	38923	0	15	33	0	0	0	0	0	14
sgLYZL6_5	LYZL6	63	0	0	0	0	0	0	0	0	0	0	0	0
sgATP6V0D2_4	ATP6V0D2	23	0	0	0	0	0	0	0	0	0	0	0	0
sgB4GALT3_3	B4GALT3	13	0	0	0	0	0	0	0	0	0	0	0	0
sgALKBH4_5	ALKBH4	149	0	0	0	0	0	0	0	0	0	0	0	0
sgATP6V0A4_2	ATP6V0A4	21	0	0	0	0	0	0	0	0	0	0	0	0
sgTECR_7	TECR	1	0	0	2194	0	1	2	0	0	0	0	0	3
sgSULT1A1_4	SULT1A1	20	0	0	0	0	0	0	0	0	0	0	0	0
sgVDAC2_9	VDAC2	25	0	0	0	0	0	0	0	0	0	0	0	0
sgNAAA_5	NAAA	1	0	0	7382	0	3	0	0	0	0	0	0	3
sgGALM_6	GALM	64	0	0	0	0	0	0	0	0	82	0	0	0
sgACSM2B_4	ACSM2B	7	0	0	56	0	0	0	0	0	0	0	0	0
sgGART_3	GART	9	0	0	0	0	0	0	0	0	0	0	0	0
sgDCK_6	DCK	2	0	0	7264	0	0	8	0	0	0	0	0	3
sgC1QTNF3_3	C1QTNF3	1	0	0	6879	0	5	0	0	0	0	0	0	2
sgILVBL_7	ILVBL	1	0	0	0	0	0	0	0	0	0	0	0	4636
sgCDADC1_6	CDADC1	4	0	0	0	0	0	0	0	0	0	0	0	0
sgABCB11_4	ABCB11	5	0	0	0	0	0	0	0	0	0	0	0	0
sgATP6V1H_2	ATP6V1H	16	0	0	0	0	0	0	0	0	0	0	0	0
INTERGENIC1155544	INTERGENIC	5	0	0	0	0	0	0	0	0	0	0	0	0
sgPFKFB1_6	PFKFB1	2	0	0	40982	567	13	46	0	0	0	0	0	12
INTERGENIC1378362	INTERGENIC	4	1	0	0	0	1	0	0	0	0	0	0	132395
sgCYB5A_3	CYB5A	16	75	5	0	0	0	0	3	16	0	0	2	1
sgNDUFA4_4	NDUFA4	16	0	0	0	0	0	0	0	0	0	0	0	0
sgHIF3A_7	HIF3A	1	0	0	11420	0	7	11	0	0	0	0	0	3
sgKCNH8_8	KCNH8	1	0	0	2953	0	2	0	0	0	0	0	0	1
sgG6PC3_3	G6PC3	59	0	0	0	0	0	0	0	0	0	0	0	0
sgKCNE3_6	KCNE3	4	0	0	16128	0	6	11	0	0	0	0	0	8
sgPLA2G4E_9	PLA2G4E	2	0	0	22889	3703	18	0	0	0	0	0	0	8
sgVDAC3_7	VDAC3	2	1	0	20752	0	2	25	0	0	0	0	0	3
sgDPM3_9	DPM3	1	0	0	10078	0	3	10	0	0	0	0	0	8
sgATP8A2_7	ATP8A2	1	0	0	0	0	0	0	0	0	0	0	0	100332
sgNDUFB3_10	NDUFB3	1	0	0	0	0	0	0	0	0	0	0	0	0
sgTMEM104_10	TMEM104	2	0	0	16205	0	8	0	0	0	0	0	0	8
sgSLC4A8_5	SLC4A8	1	0	0	0	0	0	0	0	0	0	0	0	0
sgDCT_10	DCT	1	1	0	0	0	0	0	0	96739	0	0	0	0
sgAPOC1_10	APOC1	1	0	12943	1	0	3	0	1	0	1	0	0	120980
sgSLC1A1_8	SLC1A1	1	0	0	24777	2004	5	26	0	0	0	0	0	5
sgSLC35E4_10	SLC35E4	10	0	0	0	0	0	0	0	0	0	0	0	0
sgSCCPDH_9	SCCPDH	2	0	0	1771	0	3	0	0	0	0	0	0	1
sgLGSN_3	LGSN	2	0	0	3066	0	2	4	0	0	0	0	0	106820
sgNPC1_1	NPC1	4	0	0	0	0	0	0	0	0	0	0	0	0
sgGGTLC1_5	GGTLC1	1	0	0	4780	0	0	2	0	0	0	0	0	3
sgCYP51A1_3	CYP51A1	1	0	0	0	0	0	0	0	0	0	0	0	0
sgCERS4_10	CERS4	3	0	0	13700	0	6	0	0	0	0	0	0	5
sgPIGS_3	PIGS	2	0	0	0	0	0	0	0	0	0	0	1	0
sgALOX15B_10	ALOX15B	1	0	0	7082	0	4	0	0	0	0	0	0	4
sgPIGP_10	PIGP	2	0	0	16988	0	10	25	1	0	0	0	0	6
sgGSTA4_9	GSTA4	2	0	0	0	0	0	0	0	0	0	0	0	0
sgTECR_4	TECR	1	0	12311	0	0	2	0	0	0	0	1	0	3
sgUQCR11_8	UQCR11	1	27241	0	0	0	0	0	0	0	0	0	0	0
sgSLC41A1_8	SLC41A1	1	0	0	417	0	0	0	0	0	0	0	0	0
sgCEL_10	CEL	1	0	0	0	0	0	0	0	0	0	0	0	0
sgSLC51A_1	SLC51A	7	0	0	0	0	0	0	0	0	0	0	0	0
sgMGLL_10	MGLL	1	0	0	0	0	0	0	0	0	0	0	0	0
sgKCND3_5	KCND3	1	0	0	7793	0	0	0	0	0	0	0	0	2
sgAGPAT9_7	AGPAT9	1	0	0	11295	0	10	15	0	0	0	0	0	4
sgSLC44A4_10	SLC44A4	1	0	0	2487	0	2	3	0	0	0	0	0	3
sgAKR7A3_7	AKR7A3	1	0	0	17073	0	9	0	0	0	0	0	0	8
sgALDH1B1_3	ALDH1B1	2	0	0	0	0	0	0	0	0	0	0	0	0
sgCACNA1F_5	CACNA1F	1	0	0	3485	0	1	2	0	0	0	0	0	3
sgSLC25A15_6	SLC25A15	1	0	0	15151	570	3	11	0	0	0	0	0	8
sgADA_5	ADA	1	0	0	3496	0	1	0	0	0	0	0	0	1
sgALG9_2	ALG9	1	0	0	19814	0	8	23	0	0	0	0	0	7
sgARSD_5	ARSD	1	0	0	5275	3276	2	0	0	0	0	0	0	3
sgSLC25A4_4	SLC25A4	1	2	0	25798	0	10	0	0	0	0	0	0	8
sgNDUFB7_10	NDUFB7	1	0	0	37144	0	11	35	0	0	0	0	0	18
sgTRPM7_3	TRPM7	1	7751	2	55542	1	20	48	0	0	0	0	0	23
sgKCNA2_3	KCNA2	1	0	0	0	0	0	0	0	0	0	0	0	0
sgPNP_7	PNP	1	0	9911	0	0	0	0	0	0	0	0	0	8809
sgNAA35_10	NAA35	2	0	0	1	0	0	0	0	0	0	0	0	143115
sgPGD_6	PGD	1	0	8433	5147	1	3	0	0	0	0	0	0	3
sgPIP5K1C_3	PIP5K1C	0	72182	0	0	0	0	0	0	0	0	0	0	0
sgSLC6A2_1	SLC6A2	0	27227	0	0	0	0	0	0	0	0	0	0	0
sgCYP2E1_4	CYP2E1	0	126943	5572	5909	2075	41774	103226	36284	113728	0	0	88583	10
sgALOX5AP_6	ALOX5AP	0	78216	0	0	0	1	0	0	0	0	0	0	0
sgPIGK_10	PIGK	0	79418	0	0	0	1	0	0	0	0	0	0	0
